hardware,embedding_index,horizon,method,time,result
washington,68,3,bellman,0.022030,1
washington,69,3,bellman,0.022590,1
washington,70,3,bellman,0.022340,1
washington,71,3,bellman,0.023920,1
washington,72,3,bellman,0.023180,1
washington,73,3,bellman,0.025050,1
washington,74,3,bellman,0.027030,1
washington,75,3,bellman,0.023520,1
washington,76,3,bellman,0.024110,1
washington,77,3,bellman,0.024390,1
washington,78,3,bellman,0.025230,1
washington,79,3,bellman,0.024120,1
washington,80,3,bellman,0.025030,1
washington,81,3,bellman,0.029210,1
washington,82,3,bellman,0.026720,1
washington,83,3,bellman,0.027700,1
washington,84,3,bellman,0.028060,1
washington,85,3,bellman,0.029270,1
washington,86,3,bellman,0.029760,1
washington,87,3,bellman,0.031030,1
washington,88,3,bellman,0.030330,1
washington,89,3,bellman,0.027140,1
washington,90,3,bellman,0.027160,1
washington,91,3,bellman,0.030180,1
washington,92,3,bellman,0.027860,1
washington,93,3,bellman,0.029930,1
washington,94,3,bellman,0.032170,1
washington,95,3,bellman,0.028080,1
washington,96,3,bellman,0.028470,1
washington,97,3,bellman,0.029070,1
washington,98,3,bellman,0.030720,1
washington,99,3,bellman,0.029400,1
washington,100,3,bellman,0.031250,1
washington,101,3,bellman,0.033330,1
washington,102,3,bellman,0.029960,1
washington,103,3,bellman,0.029960,1
washington,104,3,bellman,0.030620,1
washington,105,3,bellman,0.032260,1
washington,106,3,bellman,0.030960,1
washington,107,3,bellman,0.031750,1
washington,108,3,bellman,0.034930,1
washington,109,3,bellman,0.031320,1
washington,110,3,bellman,0.031650,1
washington,111,3,bellman,0.033170,1
washington,112,3,bellman,0.035690,1
washington,113,3,bellman,0.034590,1
washington,114,3,bellman,0.034730,1
washington,115,3,bellman,0.036280,1
washington,116,3,bellman,0.036160,1
washington,117,3,bellman,0.036690,1
washington,118,3,bellman,0.037880,1
washington,119,3,bellman,0.039130,1
washington,120,3,bellman,0.034570,1
washington,121,3,bellman,0.036970,1
washington,122,3,bellman,0.039240,1
washington,123,3,bellman,0.034450,1
washington,124,3,bellman,0.034950,1
washington,125,3,bellman,0.035760,1
washington,126,3,bellman,0.037390,1
washington,127,3,bellman,0.036140,1
washington,128,3,bellman,0.038200,1
washington,129,3,bellman,0.041700,1
washington,130,3,bellman,0.036500,1
washington,131,3,bellman,0.036880,1
washington,132,3,bellman,0.037190,1
washington,133,3,bellman,0.038310,1
washington,134,3,bellman,0.037120,1
washington,135,3,bellman,0.038950,1
washington,136,3,bellman,0.042880,1
washington,137,3,bellman,0.037970,1
washington,138,3,bellman,0.038450,1
washington,139,3,bellman,0.038670,1
washington,140,3,bellman,0.039600,1
washington,141,3,bellman,0.039250,1
washington,142,3,bellman,0.040140,1
washington,143,3,bellman,0.043030,1
washington,144,3,bellman,0.040980,1
washington,145,3,bellman,0.042250,1
washington,146,3,bellman,0.043480,1
washington,147,3,bellman,0.043690,1
washington,148,3,bellman,0.044580,1
washington,149,3,bellman,0.045210,1
washington,150,3,bellman,0.045240,1
washington,151,3,bellman,0.041560,1
washington,152,3,bellman,0.042160,1
washington,153,3,bellman,0.044620,1
washington,154,3,bellman,0.042730,1
washington,155,3,bellman,0.044330,1
washington,156,3,bellman,0.043310,1
washington,157,3,bellman,0.043520,1
washington,158,3,bellman,0.043970,1
washington,159,3,bellman,0.044790,1
washington,160,3,bellman,0.044420,1
washington,161,3,bellman,0.045760,1
washington,162,3,bellman,0.047530,1
washington,163,3,bellman,0.044480,1
washington,164,3,bellman,0.045180,1
washington,165,3,bellman,0.045430,1
washington,166,3,bellman,0.047200,1
washington,167,3,bellman,0.045630,1
washington,168,3,bellman,0.046480,1
washington,169,3,bellman,0.049210,1
washington,170,3,bellman,0.045950,1
washington,171,3,bellman,0.046290,1
washington,172,3,bellman,0.048100,1
washington,173,3,bellman,0.050400,1
washington,174,3,bellman,0.050270,1
washington,175,3,bellman,0.050430,1
washington,176,3,bellman,0.051220,1
washington,177,3,bellman,0.052400,1
washington,178,3,bellman,0.053010,1
washington,179,3,bellman,0.048640,1
washington,180,3,bellman,0.049540,1
washington,181,3,bellman,0.049950,1
washington,182,3,bellman,0.049600,1
washington,183,3,bellman,0.050700,1
washington,184,3,bellman,0.051070,1
washington,185,3,bellman,0.051340,1
washington,186,3,bellman,0.052000,1
washington,187,3,bellman,0.052270,1
washington,188,3,bellman,0.052880,1
washington,189,3,bellman,0.052720,1
washington,190,3,bellman,0.053530,1
yorktown,0,3,bellman,0.006360,1
yorktown,1,3,bellman,0.006600,1
yorktown,2,3,bellman,0.006910,1
yorktown,3,3,bellman,0.006640,1
yorktown,4,3,bellman,0.006940,1
yorktown,5,3,bellman,0.007030,1
athens,0,3,bellman,0.006250,1
athens,1,3,bellman,0.006670,1
athens,2,3,bellman,0.007010,1
auckland,0,3,bellman,0.006440,1
auckland,1,3,bellman,0.006870,1
auckland,2,3,bellman,0.006700,1
auckland,3,3,bellman,0.006880,1
auckland,4,3,bellman,0.008340,1
auckland,5,3,bellman,0.007310,1
auckland,6,3,bellman,0.007910,1
auckland,7,3,bellman,0.008190,1
auckland,8,3,bellman,0.008700,1
auckland,9,3,bellman,0.008940,1
auckland,10,3,bellman,0.009540,1
auckland,11,3,bellman,0.008940,1
auckland,12,3,bellman,0.009530,1
auckland,13,3,bellman,0.009480,1
auckland,14,3,bellman,0.010510,1
auckland,15,3,bellman,0.010830,1
auckland,16,3,bellman,0.010560,1
auckland,17,3,bellman,0.010780,1
auckland,18,3,bellman,0.011230,1
auckland,19,3,bellman,0.010960,1
auckland,20,3,bellman,0.011210,1
auckland,21,3,bellman,0.012190,1
auckland,22,3,bellman,0.011390,1
auckland,23,3,bellman,0.012560,1
auckland,24,3,bellman,0.012230,1
auckland,25,3,bellman,0.013050,1
auckland,26,3,bellman,0.012700,1
auckland,27,3,bellman,0.013620,1
auckland,28,3,bellman,0.013050,1
auckland,29,3,bellman,0.014150,1
auckland,30,3,bellman,0.013770,1
auckland,31,3,bellman,0.014430,1
auckland,32,3,bellman,0.014560,1
auckland,33,3,bellman,0.014980,1
auckland,34,3,bellman,0.015100,1
auckland,35,3,bellman,0.014970,1
auckland,36,3,bellman,0.015350,1
essex,0,3,bellman,0.006100,1
essex,1,3,bellman,0.006430,1
essex,2,3,bellman,0.006480,1
essex,3,3,bellman,0.006970,1
perth,0,3,bellman,0.006360,1
perth,1,3,bellman,0.006190,1
perth,2,3,bellman,0.006360,1
perth,3,3,bellman,0.007170,1
perth,4,3,bellman,0.007510,1
perth,5,3,bellman,0.007870,1
perth,6,3,bellman,0.007580,1
santiago,0,3,bellman,0.006110,1
santiago,1,3,bellman,0.006410,1
santiago,2,3,bellman,0.006880,1
singapore,0,3,bellman,0.006160,1
singapore,1,3,bellman,0.007250,1
singapore,2,3,bellman,0.006560,1
singapore,3,3,bellman,0.007360,1
singapore,4,3,bellman,0.007840,1
singapore,5,3,bellman,0.007720,1
singapore,6,3,bellman,0.006750,1
singapore,7,3,bellman,0.007930,1
singapore,8,3,bellman,0.008010,1
singapore,9,3,bellman,0.008400,1
singapore,10,3,bellman,0.008610,1
singapore,11,3,bellman,0.007990,1
singapore,12,3,bellman,0.008530,1
singapore,13,3,bellman,0.009180,1
singapore,14,3,bellman,0.008450,1
singapore,15,3,bellman,0.009430,1
singapore,16,3,bellman,0.008750,1
singapore,17,3,bellman,0.009350,1
singapore,18,3,bellman,0.009770,1
