,hardware,embedding_index,horizon,probability_opt,perfect_opt,hardware_scenario,diff
322,auckland,11,1,0.4974,0.49523,auckland_11,0.0021700000000000053
329,auckland,17,1,0.49828,0.49744,auckland_17,0.0008400000000000074
332,auckland,18,1,0.49828,0.49778,auckland_18,0.0005000000000000004
335,auckland,21,1,0.498,0.4968,auckland_21,0.0011999999999999789
338,auckland,22,1,0.498,0.4968,auckland_22,0.0011999999999999789
341,auckland,25,1,0.49816,0.49778,auckland_25,0.00037999999999999146
344,auckland,26,1,0.49816,0.49778,auckland_26,0.00037999999999999146
347,auckland,27,1,0.498,0.4974,auckland_27,0.0005999999999999894
350,auckland,28,1,0.498,0.4974,auckland_28,0.0005999999999999894
353,auckland,35,1,0.49716,0.49706,auckland_35,9.999999999998899e-05
356,auckland,36,1,0.49716,0.49706,auckland_36,9.999999999998899e-05
365,auckland,52,1,0.49764,0.4933,auckland_52,0.0043400000000000105
368,auckland,53,1,0.49764,0.4933,auckland_53,0.0043400000000000105
371,auckland,54,1,0.4954,0.49539,auckland_54,1.0000000000010001e-05
374,auckland,55,1,0.4954,0.49539,auckland_55,1.0000000000010001e-05
377,auckland,56,1,0.49748,0.4964,auckland_56,0.0010799999999999699
380,auckland,57,1,0.49748,0.4964,auckland_57,0.0010799999999999699
383,auckland,58,1,0.49716,0.49477,auckland_58,0.0023900000000000032
386,auckland,59,1,0.49716,0.49477,auckland_59,0.0023900000000000032
389,auckland,60,1,0.4972,0.49683,auckland_60,0.00036999999999998145
390,auckland,61,1,0.49704,0.49683,auckland_61,0.00020999999999998797
393,auckland,62,1,0.49704,0.49221,auckland_62,0.004830000000000001
394,auckland,63,1,0.49764,0.49715,auckland_63,0.000490000000000046
397,auckland,64,1,0.49764,0.49715,auckland_64,0.000490000000000046
400,auckland,65,1,0.4964,0.4933,auckland_65,0.0030999999999999917
403,auckland,66,1,0.4964,0.4933,auckland_66,0.0030999999999999917
406,auckland,67,1,0.49812,0.49683,auckland_67,0.0012900000000000134
409,auckland,68,1,0.49812,0.49683,auckland_68,0.0012900000000000134
412,auckland,69,1,0.49704,0.49523,auckland_69,0.0018099999999999783
415,auckland,70,1,0.49704,0.49523,auckland_70,0.0018099999999999783
