hardware,embedding_index,meas0_sucess,meas1_sucess
jakarta,5,0.974700,0.974700
johannesburg,0,0.911600,0.911600
johannesburg,1,0.911600,0.911600
johannesburg,2,0.931900,0.931900
johannesburg,3,0.935600,0.935600
kolkata,0,0.994200,0.994200
kolkata,1,0.993500,0.993500
kolkata,2,0.993000,0.993000
kolkata,3,0.993000,0.993000
lagos,0,0.536200,0.536200
lagos,1,0.536200,0.536200
lagos,2,0.738100,0.738100
lagos,3,0.863800,0.863800
lagos,4,0.652000,0.652000
lagos,5,0.652000,0.652000
lima,0,0.973900,0.973900
lima,1,0.973900,0.973900
lima,2,0.942500,0.942500
lima,3,0.980000,0.980000
london,0,0.970000,0.970000
london,1,0.970000,0.970000
london,2,0.975000,0.975000
london,3,0.951667,0.951667
melbourne,0,0.917000,0.917000
melbourne,1,0.964300,0.964300
melbourne,2,0.942200,0.942200
melbourne,3,0.970000,0.970000
manhattan,0,0.954800,0.954800
manhattan,1,0.954800,0.954800
manhattan,2,0.971400,0.971400
manhattan,3,0.985400,0.985400
manila,0,0.903600,0.903600
manila,1,0.964700,0.964700
manila,2,0.978100,0.978100
manila,3,0.985600,0.985600
manila,4,0.903600,0.903600
manila,5,0.981400,0.981400
montreal,0,0.990200,0.990200
montreal,1,0.967300,0.967300
montreal,2,0.960400,0.960400
montreal,3,0.978100,0.978100
mumbai,0,0.979800,0.979800
mumbai,1,0.962900,0.962900
mumbai,2,0.985500,0.985500
mumbai,3,0.985500,0.985500
nairobi,0,0.980700,0.980700
nairobi,1,0.980700,0.980700
nairobi,2,0.977500,0.977500
nairobi,3,0.980100,0.980100
nairobi,4,0.974200,0.974200
nairobi,5,0.974200,0.974200
oslo,0,0.990200,0.990200
oslo,1,0.990200,0.990200
oslo,2,0.985700,0.985700
oslo,3,0.990100,0.990100
oslo,4,0.976300,0.976300
oslo,5,0.976300,0.976300
ourense,0,0.978100,0.978100
ourense,1,0.978100,0.978100
ourense,2,0.970500,0.970500
ourense,3,0.945400,0.945400
paris,0,0.987200,0.987200
paris,1,0.984000,0.984000
paris,2,0.952000,0.952000
paris,3,0.952000,0.952000
perth,0,0.971300,0.971300
perth,1,0.971300,0.971300
perth,2,0.956900,0.956900
perth,3,0.974600,0.974600
perth,4,0.980500,0.980500
perth,5,0.980500,0.980500
poughkeepsie,0,0.916000,0.916000
poughkeepsie,1,0.916000,0.916000
poughkeepsie,2,0.950000,0.950000
poughkeepsie,3,0.959000,0.959000
quito,0,0.888900,0.888900
quito,1,0.888900,0.888900
quito,2,0.978000,0.978000
quito,3,0.969000,0.969000
rochester,0,0.741250,0.741250
rochester,1,0.916250,0.916250
rochester,2,0.896250,0.896250
rochester,3,0.809375,0.809375
rome,0,0.978600,0.978600
rome,1,0.969800,0.969800
rome,2,0.969900,0.969900
rome,3,0.976300,0.976300
rome,4,0.977000,0.977000
rome,5,0.978600,0.978600
santiago,0,0.982000,0.982000
santiago,1,0.986700,0.986700
santiago,2,0.985600,0.985600
santiago,3,0.984400,0.984400
santiago,4,0.982000,0.982000
santiago,5,0.990400,0.990400
singapore,0,0.965000,0.965000
singapore,1,0.965000,0.965000
singapore,2,0.913000,0.913000
singapore,3,0.917500,0.917500
sydney,0,0.943500,0.943500
sydney,1,0.973300,0.973300
sydney,2,0.916200,0.916200
sydney,3,0.916200,0.916200
toronto,0,0.920700,0.920700
toronto,1,0.984300,0.984300
toronto,2,0.990400,0.990400
toronto,3,0.990400,0.990400
valencia,0,0.969700,0.969700
valencia,1,0.969700,0.969700
valencia,2,0.945800,0.945800
valencia,3,0.976600,0.976600
vigo,0,0.978500,0.978500
vigo,1,0.978500,0.978500
vigo,2,0.977500,0.977500
vigo,3,0.966700,0.966700
washington,0,0.868100,0.868100
washington,1,0.868100,0.868100
washington,2,0.960700,0.960700
washington,3,0.996500,0.996500
yorktown,0,0.884800,0.884800
yorktown,1,0.968900,0.968900
yorktown,2,0.936700,0.936700
yorktown,3,0.936700,0.936700
yorktown,4,0.968900,0.968900
yorktown,5,0.884800,0.884800
yorktown,6,0.707700,0.707700
yorktown,7,0.972300,0.972300
perfect_hardware,0,1.000000,1.000000
