hardware,embedding_index,algorithm_index,probability,method
athens,1,3,0.997810,bellman
auckland,0,3,0.999530,bellman
auckland,1,3,0.998280,bellman
belem,0,3,0.998260,bellman
belem,1,3,0.994670,bellman
boeblingen,0,3,0.998750,bellman
boeblingen,1,3,0.901250,bellman
bogota,0,3,0.997550,bellman
bogota,1,3,0.989350,bellman
brisbane,0,3,0.999650,bellman
brisbane,1,3,0.737140,bellman
brooklyn,0,3,0.999120,bellman
brooklyn,1,3,0.972080,bellman
burlington,0,3,0.997320,bellman
burlington,1,3,0.991520,bellman
cairo,0,3,0.999530,bellman
cairo,1,3,0.931830,bellman
cambridge,0,3,0.997820,bellman
cambridge,1,3,0.661310,bellman
casablanca,0,3,0.998060,bellman
casablanca,1,3,0.996220,bellman
cusco,0,3,0.999590,bellman
cusco,1,3,0.632890,bellman
essex,0,3,0.994970,bellman
essex,1,3,0.988450,bellman
fez,0,3,0.999470,bellman
fez,1,3,0.975200,bellman
geneva,0,3,0.998410,bellman
geneva,1,3,0.945240,bellman
guadalupe,0,3,0.999300,bellman
guadalupe,1,3,0.988910,bellman
hanoi,0,3,0.999590,bellman
hanoi,1,3,0.981180,bellman
jakarta,0,3,0.998820,bellman
jakarta,1,3,0.990720,bellman
johannesburg,0,3,0.996260,bellman
johannesburg,1,3,0.919000,bellman
kawasaki,0,3,0.999710,bellman
kawasaki,1,3,0.713750,bellman
kolkata,0,3,0.999730,bellman
kolkata,1,3,0.991110,bellman
kyiv,0,3,0.999810,bellman
kyiv,1,3,0.748560,bellman
kyoto,0,3,0.999750,bellman
kyoto,1,3,0.618060,bellman
lagos,0,3,0.998740,bellman
lagos,1,3,0.554170,bellman
lima,0,3,0.998920,bellman
lima,1,3,0.989530,bellman
london,0,3,0.997930,bellman
london,1,3,0.926470,bellman
makarresh,0,3,0.999390,bellman
makarresh,1,3,0.002420,bellman
melbourne,0,3,0.997320,bellman
melbourne,1,3,0.906820,bellman
manhattan,0,3,0.999390,bellman
manhattan,1,3,0.642390,bellman
manila,0,3,0.999070,bellman
manila,1,3,0.972960,bellman
montreal,0,3,0.999610,bellman
montreal,1,3,0.973460,bellman
mumbai,0,3,0.999170,bellman
mumbai,1,3,0.971120,bellman
nairobi,0,3,0.998230,bellman
nairobi,1,3,0.989750,bellman
osaka,0,3,0.999760,bellman
osaka,1,3,0.581870,bellman
oslo,0,3,0.999440,bellman
oslo,1,3,0.997100,bellman
ourense,0,3,0.998870,bellman
ourense,1,3,0.990840,bellman
paris,0,3,0.999370,bellman
paris,1,3,0.884730,bellman
perth,0,3,0.998300,bellman
perth,1,3,0.993840,bellman
poughkeepsie,0,3,0.996600,bellman
poughkeepsie,1,3,0.904970,bellman
prague,0,3,0.999730,bellman
prague,1,3,0.969420,bellman
quito,0,3,0.995210,bellman
quito,1,3,0.963730,bellman
rochester,0,3,0.997300,bellman
rochester,1,3,0.642230,bellman
rome,0,3,0.998190,bellman
rome,1,3,0.996990,bellman
santiago,0,3,0.999460,bellman
santiago,1,3,0.998660,bellman
singapore,0,3,0.998170,bellman
singapore,1,3,0.976980,bellman
sydney,0,3,0.999450,bellman
sydney,1,3,0.960810,bellman
torino,0,3,0.999470,bellman
torino,1,3,0.904590,bellman
toronto,0,3,0.999430,bellman
toronto,1,3,0.814460,bellman
valencia,0,3,0.997920,bellman
valencia,1,3,0.990680,bellman
vigo,0,3,0.998780,bellman
vigo,1,3,0.983380,bellman
washington,0,3,0.999590,bellman
washington,1,3,0.754400,bellman
yorktown,0,3,0.997170,bellman
yorktown,1,3,0.791350,bellman
perfect_hardware,0,3,1.000000,bellman
algiers,0,4,0.999440,bellman
algiers,1,4,0.996270,bellman
almaden,0,4,0.997770,bellman
almaden,1,4,0.911640,bellman
athens,0,4,0.999060,bellman
athens,1,4,0.999110,bellman
auckland,0,4,0.999370,bellman
auckland,1,4,0.998890,bellman
belem,0,4,0.999110,bellman
belem,1,4,0.998790,bellman
boeblingen,0,4,0.998750,bellman
boeblingen,1,4,0.944650,bellman
bogota,0,4,0.999320,bellman
bogota,1,4,0.995970,bellman
brisbane,0,4,0.999550,bellman
brisbane,1,4,0.786010,bellman
brooklyn,0,4,0.999290,bellman
brooklyn,1,4,0.983100,bellman
burlington,0,4,0.998340,bellman
burlington,1,4,0.996160,bellman
cairo,0,4,0.999340,bellman
cairo,1,4,0.960010,bellman
cambridge,0,4,0.997740,bellman
cambridge,1,4,0.697840,bellman
casablanca,0,4,0.997770,bellman
casablanca,1,4,0.998560,bellman
cusco,0,4,0.999530,bellman
cusco,1,4,0.663260,bellman
essex,0,4,0.995940,bellman
essex,1,4,0.994110,bellman
fez,0,4,0.999160,bellman
fez,1,4,0.992520,bellman
geneva,0,4,0.998270,bellman
geneva,1,4,0.976640,bellman
guadalupe,0,4,0.999370,bellman
guadalupe,1,4,0.997050,bellman
hanoi,0,4,0.999460,bellman
hanoi,1,4,0.994450,bellman
jakarta,0,4,0.999260,bellman
jakarta,1,4,0.997790,bellman
johannesburg,0,4,0.995230,bellman
johannesburg,1,4,0.957750,bellman
kawasaki,0,4,0.999570,bellman
kawasaki,1,4,0.759620,bellman
kolkata,0,4,0.999660,bellman
kolkata,1,4,0.994620,bellman
kyiv,0,4,0.999690,bellman
kyiv,1,4,0.743610,bellman
kyoto,0,4,0.999670,bellman
kyoto,1,4,0.646230,bellman
lagos,0,4,0.999230,bellman
lagos,1,4,0.567570,bellman
lima,0,4,0.999510,bellman
lima,1,4,0.996690,bellman
london,0,4,0.997870,bellman
london,1,4,0.964010,bellman
makarresh,0,4,0.999000,bellman
makarresh,1,4,0.004020,bellman
melbourne,0,4,0.998810,bellman
melbourne,1,4,0.948870,bellman
manhattan,0,4,0.999180,bellman
manhattan,1,4,0.675650,bellman
manila,0,4,0.999450,bellman
manila,1,4,0.990660,bellman
montreal,0,4,0.999600,bellman
montreal,1,4,0.991720,bellman
mumbai,0,4,0.999440,bellman
