hardware,embedding_index,horizon,method,time,result
essex,1,2,bellman,0.008820,1
essex,1,2,convex,0.012660,1
essex,1,3,bellman,0.014160,1
essex,1,3,convex,0.012490,1
essex,2,1,bellman,0.004280,1
essex,2,1,convex,0.016190,1
essex,2,2,bellman,0.008840,1
essex,2,2,convex,0.013300,1
essex,2,3,bellman,0.014400,1
essex,2,3,convex,0.012610,1
geneva,0,1,bellman,0.006500,1
geneva,0,1,convex,0.023530,1
geneva,0,2,bellman,0.014490,1
geneva,0,2,convex,0.019810,1
geneva,0,3,bellman,0.022140,1
geneva,0,3,convex,0.019660,1
geneva,1,1,bellman,0.006690,1
geneva,1,1,convex,0.024070,1
geneva,1,2,bellman,0.015150,1
geneva,1,2,convex,0.020460,1
geneva,1,3,bellman,0.022800,1
geneva,1,3,convex,0.020360,1
geneva,2,1,bellman,0.006700,1
geneva,2,1,convex,0.024320,1
geneva,2,2,bellman,0.015600,1
geneva,2,2,convex,0.020990,1
geneva,2,3,bellman,0.072190,1
geneva,2,3,convex,0.237700,1
guadalupe,0,1,bellman,0.005470,1
guadalupe,0,1,convex,0.020850,1
guadalupe,0,2,bellman,0.012890,1
guadalupe,0,2,convex,0.017140,1
guadalupe,0,3,bellman,0.019240,1
guadalupe,0,3,convex,0.017320,1
guadalupe,1,1,bellman,0.006470,1
guadalupe,1,1,convex,0.022320,1
guadalupe,1,2,bellman,0.014430,1
guadalupe,1,2,convex,0.019080,1
guadalupe,1,3,bellman,0.021400,1
guadalupe,1,3,convex,0.019490,1
guadalupe,2,1,bellman,0.005990,1
guadalupe,2,1,convex,0.021730,1
guadalupe,2,2,bellman,0.013340,1
guadalupe,2,2,convex,0.018240,1
guadalupe,2,3,bellman,0.020000,1
guadalupe,2,3,convex,0.018450,1
guadalupe,3,1,bellman,0.006210,1
guadalupe,3,1,convex,0.022960,1
guadalupe,3,2,bellman,0.014530,1
guadalupe,3,2,convex,0.019520,1
guadalupe,3,3,bellman,0.022870,1
guadalupe,3,3,convex,0.071660,1
hanoi,0,1,bellman,0.007640,1
hanoi,0,1,convex,0.024660,1
hanoi,0,2,bellman,0.015890,1
hanoi,0,2,convex,0.021430,1
hanoi,0,3,bellman,0.023810,1
hanoi,0,3,convex,0.021280,1
hanoi,1,1,bellman,0.007160,1
hanoi,1,1,convex,0.024830,1
hanoi,1,2,bellman,0.016030,1
hanoi,1,2,convex,0.021820,1
hanoi,1,3,bellman,0.024370,1
hanoi,1,3,convex,0.021640,1
hanoi,2,1,bellman,0.006570,1
hanoi,2,1,convex,0.022180,1
hanoi,2,2,bellman,0.014620,1
hanoi,2,2,convex,0.019020,1
hanoi,2,3,bellman,0.065590,1
hanoi,2,3,convex,0.220840,1
hanoi,3,1,bellman,0.006480,1
hanoi,3,1,convex,0.022550,1
hanoi,3,2,bellman,0.014180,1
hanoi,3,2,convex,0.019530,1
hanoi,3,3,bellman,0.066720,1
hanoi,3,3,convex,0.122900,1
jakarta,0,1,bellman,0.004520,1
jakarta,0,1,convex,0.018190,1
jakarta,0,2,bellman,0.010590,1
jakarta,0,2,convex,0.014950,1
jakarta,0,3,bellman,0.016230,1
jakarta,0,3,convex,0.014780,1
jakarta,1,1,bellman,0.004420,1
jakarta,1,1,convex,0.017540,1
jakarta,1,2,bellman,0.009970,1
jakarta,1,2,convex,0.014270,1
jakarta,1,3,bellman,0.015690,1
jakarta,1,3,convex,0.014130,1
johannesburg,0,1,bellman,0.004620,1
johannesburg,0,1,convex,0.016720,1
johannesburg,0,2,bellman,0.009370,1
johannesburg,0,2,convex,0.013240,1
johannesburg,0,3,bellman,0.015090,1
johannesburg,0,3,convex,0.012890,1
johannesburg,1,1,bellman,0.006240,1
johannesburg,1,1,convex,0.019210,1
johannesburg,1,2,bellman,0.011690,1
johannesburg,1,2,convex,0.015850,1
johannesburg,1,3,bellman,0.018510,1
johannesburg,1,3,convex,0.015640,1
johannesburg,2,1,bellman,0.006510,1
johannesburg,2,1,convex,0.021650,1
johannesburg,2,2,bellman,0.013170,1
johannesburg,2,2,convex,0.018170,1
johannesburg,2,3,bellman,0.020330,1
johannesburg,2,3,convex,0.055570,1
johannesburg,3,1,bellman,0.006670,1
johannesburg,3,1,convex,0.022860,1
johannesburg,3,2,bellman,0.014020,1
johannesburg,3,2,convex,0.019660,1
johannesburg,3,3,bellman,0.021740,1
johannesburg,3,3,convex,0.019740,1
kolkata,0,1,bellman,0.005420,1
kolkata,0,1,convex,0.019490,1
kolkata,0,2,bellman,0.012080,1
kolkata,0,2,convex,0.016440,1
kolkata,0,3,bellman,0.018440,1
kolkata,0,3,convex,0.015920,1
kolkata,1,1,bellman,0.007570,1
kolkata,1,1,convex,0.023810,1
kolkata,1,2,bellman,0.015630,1
kolkata,1,2,convex,0.020350,1
kolkata,1,3,bellman,0.024230,1
kolkata,1,3,convex,0.020180,1
kolkata,2,1,bellman,0.008260,1
kolkata,2,1,convex,0.026670,1
kolkata,2,2,bellman,0.017350,1
kolkata,2,2,convex,0.023570,1
kolkata,2,3,bellman,0.026450,1
kolkata,2,3,convex,0.023450,1
lagos,0,1,bellman,0.004560,1
lagos,0,1,convex,0.017790,1
lagos,0,2,bellman,0.005580,1
lagos,0,2,convex,0.014260,1
lagos,0,3,bellman,0.007500,1
lagos,0,3,convex,0.014220,1
lagos,1,1,bellman,0.004560,1
lagos,1,1,convex,0.017720,1
lagos,1,2,bellman,0.010370,1
lagos,1,2,convex,0.014330,1
lagos,1,3,bellman,0.015970,1
lagos,1,3,convex,0.014280,1
lagos,2,1,bellman,0.004410,1
lagos,2,1,convex,0.017610,1
lagos,2,2,bellman,0.006010,1
lagos,2,2,convex,0.013850,1
lagos,2,3,bellman,0.007300,1
lagos,2,3,convex,0.013850,1
lima,0,1,bellman,0.004690,1
lima,0,1,convex,0.016640,1
lima,0,2,bellman,0.009810,1
lima,0,2,convex,0.012900,1
lima,0,3,bellman,0.014730,1
lima,0,3,convex,0.013100,1
lima,1,1,bellman,0.004210,1
lima,1,1,convex,0.016950,1
lima,1,2,bellman,0.009910,1
lima,1,2,convex,0.013500,1
lima,1,3,bellman,0.015080,1
lima,1,3,convex,0.054550,1
london,0,1,bellman,0.004060,1
london,0,1,convex,0.015870,1
london,0,2,bellman,0.008290,1
london,0,2,convex,0.011950,1
london,0,3,bellman,0.013880,1
london,0,3,convex,0.011790,1
london,1,1,bellman,0.004570,1
london,1,1,convex,0.016060,1
london,1,2,bellman,0.009250,1
london,1,2,convex,0.012890,1
london,1,3,bellman,0.014040,1
london,1,3,convex,0.012680,1
melbourne,0,1,bellman,0.003890,1
melbourne,0,1,convex,0.016210,1
melbourne,0,2,bellman,0.009090,1
melbourne,0,2,convex,0.012470,1
melbourne,0,3,bellman,0.013790,1
melbourne,0,3,convex,0.051800,1
melbourne,1,1,bellman,0.005080,1
melbourne,1,1,convex,0.017050,1
melbourne,1,2,bellman,0.010350,1
melbourne,1,2,convex,0.013640,1
melbourne,1,3,bellman,0.016040,1
melbourne,1,3,convex,0.013750,1
melbourne,2,1,bellman,0.005130,1
melbourne,2,1,convex,0.019280,1
melbourne,2,2,bellman,0.011320,1
melbourne,2,2,convex,0.015680,1
melbourne,2,3,bellman,0.017350,1
melbourne,2,3,convex,0.060650,1
melbourne,3,1,bellman,0.005290,1
melbourne,3,1,convex,0.020160,1
melbourne,3,2,bellman,0.011970,1
melbourne,3,2,convex,0.016280,1
melbourne,3,3,bellman,0.018480,1
melbourne,3,3,convex,0.016460,1
manhattan,0,1,bellman,0.013820,1
manhattan,0,1,convex,0.042910,1
manhattan,0,2,bellman,0.015880,1
manhattan,0,2,convex,0.039580,1
manhattan,0,3,bellman,0.044170,1
manhattan,0,3,convex,0.039490,1
manhattan,1,1,bellman,0.014230,1
manhattan,1,1,convex,0.043540,1
manhattan,1,2,bellman,0.030360,1
manhattan,1,2,convex,0.040430,1
manhattan,1,3,bellman,0.045120,1
manhattan,1,3,convex,0.125260,1
manhattan,2,1,bellman,0.011430,1
manhattan,2,1,convex,0.033110,1
manhattan,2,2,bellman,0.047130,1
manhattan,2,2,convex,0.029240,1
