hardware,embedding_index,algorithm_index,probability,method
manila,0,5,0.500000,bellman
manila,1,5,0.500000,bellman
manila,2,5,0.500000,bellman
montreal,0,5,0.500000,bellman
montreal,1,5,0.500000,bellman
mumbai,0,5,0.500000,bellman
mumbai,1,5,0.500000,bellman
mumbai,2,5,0.500000,bellman
nairobi,0,5,0.500000,bellman
nairobi,1,5,0.500000,bellman
nairobi,2,5,0.500000,bellman
nairobi,3,5,0.500000,bellman
nairobi,4,5,0.500000,bellman
oslo,0,5,0.500000,bellman
oslo,1,5,0.500000,bellman
oslo,2,5,0.500000,bellman
oslo,3,5,0.500000,bellman
oslo,4,5,0.500000,bellman
ourense,0,5,0.500000,bellman
ourense,1,5,0.500000,bellman
ourense,2,5,0.500000,bellman
paris,0,5,0.500000,bellman
paris,1,5,0.500000,bellman
paris,2,5,0.500000,bellman
perth,0,5,0.500000,bellman
perth,1,5,0.500000,bellman
perth,2,5,0.500000,bellman
perth,3,5,0.500000,bellman
