hardware,embedding_index,method,horizon,algorithm_index,baseline_index,algorithm_prob,baseline_prob,diff
manhattan,1,convex,1,168,280,0.665260,0.662470,0.002790
manhattan,1,convex,2,169,283,0.666660,0.662470,0.004190
manhattan,1,convex,3,170,284,0.748300,0.746690,0.001610
manila,0,convex,1,171,280,0.643770,0.602400,0.041370
manila,0,convex,2,172,283,0.664150,0.602400,0.061750
manila,0,convex,3,173,284,0.717790,0.701500,0.016290
manila,1,convex,1,68,280,0.663440,0.657070,0.006370
manila,1,convex,2,69,283,0.666620,0.657070,0.009550
manila,1,convex,3,96,284,0.746140,0.742700,0.003440
montreal,0,convex,1,174,280,0.665080,0.661930,0.003150
montreal,0,convex,2,175,283,0.666660,0.661930,0.004730
montreal,0,convex,3,176,284,0.748130,0.746370,0.001760
montreal,1,convex,1,177,280,0.643700,0.602200,0.041500
montreal,1,convex,2,178,283,0.664130,0.602200,0.061930
montreal,1,convex,3,179,284,0.717800,0.701560,0.016240
mumbai,0,convex,1,30,280,0.663750,0.658000,0.005750
mumbai,0,convex,2,180,283,0.666630,0.658000,0.008630
mumbai,0,convex,3,181,284,0.746530,0.743390,0.003140
mumbai,1,convex,1,182,280,0.642550,0.599200,0.043350
mumbai,1,convex,2,183,283,0.663860,0.599200,0.064660
mumbai,1,convex,3,184,284,0.715980,0.699330,0.016650
nairobi,0,convex,1,185,280,0.653260,0.628000,0.025260
nairobi,0,convex,2,186,283,0.665830,0.628000,0.037830
nairobi,0,convex,3,187,284,0.732350,0.720820,0.011530
nairobi,1,convex,1,188,280,0.662550,0.654470,0.008080
nairobi,1,convex,2,189,283,0.666590,0.654470,0.012120
nairobi,1,convex,3,190,284,0.744970,0.740590,0.004380
osaka,0,convex,1,191,280,0.528880,0.374200,0.154680
osaka,0,convex,2,192,283,0.530650,0.374200,0.156450
osaka,0,convex,3,193,284,0.543100,0.527820,0.015280
osaka,1,convex,1,117,280,0.665860,0.664270,0.001590
osaka,1,convex,2,194,283,0.666660,0.664270,0.002390
osaka,1,convex,3,119,284,0.749050,0.748130,0.000920
oslo,0,convex,1,195,280,0.664950,0.661530,0.003420
oslo,0,convex,2,196,283,0.666650,0.661530,0.005120
oslo,0,convex,3,197,284,0.747950,0.746020,0.001930
oslo,1,convex,1,198,280,0.660000,0.647070,0.012930
oslo,1,convex,2,199,283,0.666460,0.647070,0.019390
oslo,1,convex,3,200,284,0.741770,0.735180,0.006590
ourense,0,convex,1,6,280,0.663250,0.656530,0.006720
ourense,0,convex,2,201,283,0.666610,0.656530,0.010080
ourense,0,convex,3,8,284,0.745900,0.742250,0.003650
ourense,1,convex,1,202,280,0.654070,0.630270,0.023800
ourense,1,convex,2,203,283,0.665930,0.630270,0.035660
ourense,1,convex,3,204,284,0.733530,0.722520,0.011010
paris,0,convex,1,205,280,0.612070,0.525930,0.086140
paris,0,convex,2,206,283,0.644450,0.525930,0.118520
paris,0,convex,3,207,284,0.664990,0.644330,0.020660
paris,1,convex,1,174,280,0.665130,0.662070,0.003060
paris,1,convex,2,208,283,0.666660,0.662070,0.004590
paris,1,convex,3,176,284,0.748150,0.746390,0.001760
perth,0,convex,1,209,280,0.656810,0.637930,0.018880
perth,0,convex,2,210,283,0.666220,0.637930,0.028290
perth,0,convex,3,211,284,0.737370,0.728210,0.009160
perth,1,convex,1,212,280,0.662280,0.653670,0.008610
perth,1,convex,2,213,283,0.666580,0.653670,0.012910
perth,1,convex,3,214,284,0.744660,0.740060,0.004600
poughkeepsie,0,convex,1,215,280,0.623210,0.551330,0.071880
